Model,Model_Version,Rank,Feature,SHAP_Importance
MLP,unknown,121,Fx_power,0.000000000000
MLP,unknown,122,Fx_variance,0.000000000000
MLP,unknown,123,Fx_slope,0.000000000000
MLP,unknown,124,Fy_kurtosis,0.000000000000
MLP,unknown,125,Fy_energy,0.000000000000
MLP,unknown,126,Fy_last,0.000000000000
MLP,unknown,127,Fy_peak_to_peak,0.000000000000
MLP,unknown,128,Fy_cv,0.000000000000
MLP,unknown,129,Fy_slope,0.000000000000
MLP,unknown,130,Fy_shape_factor,0.000000000000
MLP,unknown,131,Fz_first,0.000000000000
MLP,unknown,132,Fz_cv,0.000000000000
MLP,unknown,133,Tx_mean_abs,0.000000000000
MLP,unknown,134,Tx_first,0.000000000000
MLP,unknown,135,Tx_variance,0.000000000000
MLP,unknown,136,Tx_slope,0.000000000000
MLP,unknown,137,Ty_mean,0.000000000000
MLP,unknown,138,Ty_median,0.000000000000
MLP,unknown,139,Tz_std,0.000000000000
MLP,unknown,140,Tz_min,0.000000000000
MLP,unknown,141,Tz_power,0.000000000000
MLP,unknown,142,Tz_first,0.000000000000
MLP,unknown,143,Tz_variance,0.000000000000
MLP,unknown,144,Tz_p90,0.000000000000
LightGBM,unknown,1,Fz_std,0.372958713867
LightGBM,unknown,2,Fz_mean_abs,0.283271037229
LightGBM,unknown,3,Fz_peak_frequency,0.242494324713
LightGBM,unknown,4,Ty_iqr,0.218314534753
LightGBM,unknown,5,Fx_rms,0.187165635939
LightGBM,unknown,6,Fz_rms,0.178817521671
LightGBM,unknown,7,Fz_mean,0.169911618046
LightGBM,unknown,8,Fx_min,0.165973858869
LightGBM,unknown,9,Fz_energy,0.150791192736
LightGBM,unknown,10,Fy_max,0.119069875212
LightGBM,unknown,11,Fz_variance,0.119035008617
LightGBM,unknown,12,Fy_mean_abs,0.114024418934
LightGBM,unknown,13,Ty_cv,0.111288837396
LightGBM,unknown,14,Fz_slope,0.103673762482
LightGBM,unknown,15,Fz_peak_to_peak,0.100387346834
LightGBM,unknown,16,Fz_power,0.088798799766
LightGBM,unknown,17,Fx_mean_abs,0.080320423513
LightGBM,unknown,18,Tx_cv,0.078074262364
LightGBM,unknown,19,Fz_min,0.077961278588
LightGBM,unknown,20,Fx_energy,0.076287715687
LightGBM,unknown,21,Ty_std,0.075573386394
LightGBM,unknown,22,Tx_shape_factor,0.074202263475
LightGBM,unknown,23,Tz_shape_factor,0.070629898332
LightGBM,unknown,24,Tx_rms,0.070562886870
LightGBM,unknown,25,Fz_iqr,0.070040227103
LightGBM,unknown,26,Ty_shape_factor,0.069178043442
LightGBM,unknown,27,Tx_energy,0.064419984187
LightGBM,unknown,28,Ty_min,0.062047961074
LightGBM,unknown,29,Fy_peak_frequency,0.061612842531
LightGBM,unknown,30,Fx_last,0.061033315085
LightGBM,unknown,31,Tx_min,0.060176107229
LightGBM,unknown,32,Fy_rms,0.059066071808
LightGBM,unknown,33,Fz_last,0.057056457707
LightGBM,unknown,34,Ty_p90,0.056224598489
LightGBM,unknown,35,Fx_shape_factor,0.056190592214
LightGBM,unknown,36,Fx_std,0.054502759510
LightGBM,unknown,37,Fy_first,0.054035429932
LightGBM,unknown,38,Tx_zero_crossing_rate,0.051011033213
LightGBM,unknown,39,Tx_peak_frequency,0.050172335588
LightGBM,unknown,40,Tx_crest_factor,0.049633408365
LightGBM,unknown,41,Tz_mean_abs,0.048628586304
LightGBM,unknown,42,Fx_entropy,0.048510593449
LightGBM,unknown,43,Fx_skewness,0.046491860161
LightGBM,unknown,44,Tz_rms,0.043153355996
LightGBM,unknown,45,Tz_peak_to_peak,0.042854379529
LightGBM,unknown,46,Tz_mean,0.042644108810
LightGBM,unknown,47,Fy_median,0.042283749819
LightGBM,unknown,48,Fx_slope,0.040525778055
LightGBM,unknown,49,Tz_last,0.036649148633
LightGBM,unknown,50,Ty_slope,0.035809179100
LightGBM,unknown,51,Fy_energy,0.035359896433
LightGBM,unknown,52,Ty_peak_frequency,0.034671134398
LightGBM,unknown,53,Tx_power,0.034643780941
LightGBM,unknown,54,Tz_kurtosis,0.032521346785
LightGBM,unknown,55,Ty_first,0.031618859451
LightGBM,unknown,56,Tz_skewness,0.030911530574
LightGBM,unknown,57,Tx_peak_to_peak,0.029907011638
LightGBM,unknown,58,Fx_p90,0.028622880508
LightGBM,unknown,59,Ty_energy,0.028208238877
LightGBM,unknown,60,Tx_first,0.027375298663
LightGBM,unknown,61,Ty_median,0.026640836597
LightGBM,unknown,62,Fx_peak_frequency,0.025735067094
LightGBM,unknown,63,Tx_mean_abs,0.025182768452
LightGBM,unknown,64,Fy_mean,0.024698628226
LightGBM,unknown,65,Ty_kurtosis,0.024212713039
LightGBM,unknown,66,Fz_entropy,0.024065257714
LightGBM,unknown,67,Ty_rms,0.023979953667
LightGBM,unknown,68,Tx_max,0.023750531455
LightGBM,unknown,69,Fx_variance,0.023146120041
LightGBM,unknown,70,Fx_power,0.022614143782
LightGBM,unknown,71,Ty_max,0.022600975162
LightGBM,unknown,72,Fy_p90,0.022319726683
LightGBM,unknown,73,Tz_iqr,0.021720343969
LightGBM,unknown,74,Fz_cv,0.021576395021
LightGBM,unknown,75,Fz_first,0.020906018406
LightGBM,unknown,76,Fz_shape_factor,0.019320676771
LightGBM,unknown,77,Tz_energy,0.019263124677
LightGBM,unknown,78,Fz_crest_factor,0.018322280654
LightGBM,unknown,79,Fz_skewness,0.017432007408
LightGBM,unknown,80,Fy_peak_to_peak,0.017261591148
LightGBM,unknown,81,Fx_iqr,0.017171726511
LightGBM,unknown,82,Fy_kurtosis,0.017162577742
LightGBM,unknown,83,Fy_entropy,0.016613370547
LightGBM,unknown,84,Tz_slope,0.016487057809
LightGBM,unknown,85,Tz_std,0.015695325028
LightGBM,unknown,86,Fy_shape_factor,0.014142437138
LightGBM,unknown,87,Ty_peak_to_peak,0.013650614088
LightGBM,unknown,88,Fz_kurtosis,0.013262625095
LightGBM,unknown,89,Ty_zero_crossing_rate,0.013190619874
LightGBM,unknown,90,Ty_mean,0.013034011740
LightGBM,unknown,91,Ty_entropy,0.012810000970
LightGBM,unknown,92,Fx_first,0.012283688827
LightGBM,unknown,93,Tz_crest_factor,0.012235552106
LightGBM,unknown,94,Fx_mean,0.012096032541
LightGBM,unknown,95,Tz_entropy,0.012081056907
LightGBM,unknown,96,Fx_zero_crossing_rate,0.011865827684
LightGBM,unknown,97,Tx_skewness,0.011423223465
LightGBM,unknown,98,Ty_mean_abs,0.011297199028
LightGBM,unknown,99,Tx_std,0.010799359519
LightGBM,unknown,100,Fy_slope,0.010775545363
LightGBM,unknown,101,Tx_entropy,0.010352387560
LightGBM,unknown,102,Fx_kurtosis,0.009754610886
LightGBM,unknown,103,Fx_peak_to_peak,0.009525825978
LightGBM,unknown,104,Fx_crest_factor,0.009418700973
LightGBM,unknown,105,Ty_skewness,0.008620708364
LightGBM,unknown,106,Tz_median,0.008398401828
LightGBM,unknown,107,Fy_skewness,0.008054999533
LightGBM,unknown,108,Tx_kurtosis,0.007772834567
LightGBM,unknown,109,Fy_power,0.007672219153
LightGBM,unknown,110,Fz_median,0.007658767767
LightGBM,unknown,111,Fy_cv,0.007475311383
LightGBM,unknown,112,Fx_cv,0.007197859161
LightGBM,unknown,113,Tx_p90,0.006697286317
LightGBM,unknown,114,Tx_last,0.006420232262
