Model,Method,Method_Description,Rank,Feature,Importance_Score,Normalized_Score
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,129,Fy_crest_factor,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,130,Fz_max,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,131,Tx_median,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,132,Tx_variance,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,133,Ty_power,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,134,Ty_last,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,135,Ty_variance,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,136,Tz_min,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,137,Tz_first,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,138,Tz_cv,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,139,Tz_peak_frequency,1.000000000000,0.015625000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,140,Fz_zero_crossing_rate,0.000000000000,0.000000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,141,Tz_max,0.000000000000,0.000000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,142,Tz_power,0.000000000000,0.000000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,143,Tz_variance,0.000000000000,0.000000000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,144,Tz_p90,0.000000000000,0.000000000000
LightGBM,native_gain,LightGBM native gain importance,1,Fx_rms,322.540908243507,1.000000000000
LightGBM,native_gain,LightGBM native gain importance,2,Fz_rms,268.196651076243,0.831512047687
LightGBM,native_gain,LightGBM native gain importance,3,Fz_mean_abs,250.066378183772,0.775301277427
LightGBM,native_gain,LightGBM native gain importance,4,Fz_std,219.921052013175,0.681839253231
LightGBM,native_gain,LightGBM native gain importance,5,Fz_mean,208.729888844304,0.647142373292
LightGBM,native_gain,LightGBM native gain importance,6,Fz_energy,181.839650303707,0.563772363927
