Model,Rank,Feature,Overall_SHAP_Importance,SHAP_Score_Class_collision,SHAP_Score_Class_normal,SHAP_Score_Class_obstruction
LightGBM,13,Fx_shape_factor,0.172209728766,0.220523883086,0.011678424774,0.284426878439
LightGBM,14,Tx_zero_crossing_rate,0.161281703325,0.325036512974,0.028825733211,0.129982863791
LightGBM,15,Fy_peak_frequency,0.159218755446,0.000000000000,0.477656266339,0.000000000000
LightGBM,16,Fy_mean,0.147404607960,0.175240592007,0.013595525377,0.253377706495
LightGBM,17,Ty_zero_crossing_rate,0.144631184730,0.272833713124,0.000000000000,0.161059841066
LightGBM,18,Fz_shape_factor,0.133274090400,0.016582593983,0.383239677218,0.000000000000
LightGBM,19,Fx_zero_crossing_rate,0.111744194135,0.000000000000,0.335232582404,0.000000000000
LightGBM,20,Tx_crest_factor,0.107127166347,0.267349241196,0.047400307464,0.006631950382
LightGBM,21,Fz_entropy,0.105215113950,0.184301233886,0.024618960440,0.106725147525
LightGBM,22,Ty_peak_frequency,0.101186542186,0.132095966151,0.171463660406,0.000000000000
LightGBM,23,Fz_peak_frequency,0.094263057010,0.000000000000,0.282789171031,0.000000000000
LightGBM,24,Tz_shape_factor,0.083803707515,0.161579957955,0.000000000000,0.089831164591
LightGBM,25,Tx_min,0.076390371049,0.146412319643,0.000000000000,0.082758793504
LightGBM,26,Fz_last,0.063953421316,0.000000000000,0.079781618682,0.112078645266
LightGBM,27,Ty_kurtosis,0.063446559842,0.000000000000,0.000000000000,0.190339679526
LightGBM,28,Fy_shape_factor,0.060439623955,0.170013219526,0.000000000000,0.011305652338
LightGBM,29,Tx_peak_frequency,0.057696546968,0.000000000000,0.173089640904,0.000000000000
LightGBM,30,Fz_kurtosis,0.057565902174,0.000000000000,0.010320298563,0.162377407958
LightGBM,31,Tx_slope,0.057010450580,0.075246428658,0.086349617097,0.009435305986
LightGBM,32,Ty_rms,0.053939842672,0.000000000000,0.074235505269,0.087584022748
LightGBM,33,Tz_last,0.052339305013,0.138754014863,0.000000000000,0.018263900174
LightGBM,34,Fx_peak_frequency,0.050606772132,0.042075675932,0.109744640464,0.000000000000
LightGBM,35,Ty_crest_factor,0.046627442120,0.049879890436,0.086408131946,0.003594303979
LightGBM,36,Tz_zero_crossing_rate,0.044967719750,0.000000000000,0.009560303551,0.125342855701
LightGBM,37,Tx_iqr,0.037234078514,0.052509215771,0.043868448818,0.015324570952
LightGBM,38,Ty_skewness,0.036775909664,0.000000000000,0.006955631677,0.103372097314
LightGBM,39,Tz_crest_factor,0.026193731759,0.000000000000,0.056744416942,0.021836778334
LightGBM,40,Tz_kurtosis,0.023861275541,0.062608162603,0.000000000000,0.008975664019
LightGBM,41,Fz_cv,0.021848737385,0.034645613832,0.013170853015,0.017729745309
LightGBM,42,Tx_mean,0.020371994468,0.000000000000,0.000000000000,0.061115983405
LightGBM,43,Tx_max,0.017830656654,0.040444025248,0.013047944714,0.000000000000
LightGBM,44,Ty_max,0.014586162826,0.000000000000,0.037446124583,0.006312363894
LightGBM,45,Tz_entropy,0.010720493100,0.007724237304,0.007372833370,0.017064408626
LightGBM,46,Tz_p90,0.009112450433,0.000000000000,0.008976112655,0.018361238642
LightGBM,47,Ty_last,0.008131656197,0.000000000000,0.005699657556,0.018695311034
LightGBM,48,Fy_zero_crossing_rate,0.007102717860,0.000000000000,0.000000000000,0.021308153581
LightGBM,49,Fz_skewness,0.006266240059,0.000000000000,0.000000000000,0.018798720177
LightGBM,50,Fx_kurtosis,0.004483940218,0.000000000000,0.013451820653,0.000000000000
LightGBM,51,Tz_median,0.002434097324,0.000000000000,0.000000000000,0.007302291971
LightGBM,52,Fx_crest_factor,0.001155964509,0.000000000000,0.003467893528,0.000000000000
LightGBM,53,Tz_peak_frequency,0.000000000000,0.000000000000,0.000000000000,0.000000000000
LightGBM,54,Fz_zero_crossing_rate,0.000000000000,0.000000000000,0.000000000000,0.000000000000
